Rank,Title,Rating,TotalVotes,Genre1,Genre2,Genre3,MetaCritic,Budget,Runtime
95,The Hobbit: The Desolation of Smaug (2013),7.9,"520,084",Adventure,Fantasy,,66,"$225,000,000 ",161 min
96,The Hunger Games: Catching Fire (2013),7.6,"531,466",Action,Adventure,Mystery,76,"$130,000,000 ",146 min
97,The Imitation Game (2014),8.1,"540,489",Biography,Drama,Thriller,73,"$14,000,000 ",114 min
98,The King's Speech (2010),8,"540,240",Biography,Drama,,88,"$15,000,000 ",118 min
99,The Lego Movie (2014),7.8,"271,515",Animation,Action,Adventure,83,"$60,000,000 ",100 min
100,The Little Prince (2015),7.8,"40,777",Animation,Adventure,Drama,70,"$81,200,000 ",108 min
101,The Martian (2015),8,"569,347",Adventure,Drama,Sci-Fi,80,"$108,000,000 ",144 min
102,The Perks of Being a Wallflower (2012),8,"382,665",Drama,Romance,,67,"$13,000,000 ",102 min
103,The Revenant (2015),8,"512,526",Adventure,Drama,Thriller,76,"$135,000,000 ",156 min
104,The Social Network (2010),7.7,"516,417",Biography,Drama,,95,"$40,000,000 ",120 min
105,The Theory of Everything (2014),7.7,"305,145",Biography,Drama,Romance,72,"$15,000,000 ",123 min
106,The Town (2010),7.6,"297,426",Crime,Drama,Thriller,74,"$37,000,000 ",125 min
107,The Wolf of Wall Street (2013),8.2,"881,984",Biography,Comedy,Crime,75,"$100,000,000 ",180 min
108,Toy Story 3 (2010),8.3,"596,385",Animation,Adventure,Comedy,92,"$200,000,000 ",103 min
109,True Grit (2010),7.6,"257,670",Adventure,Drama,Western,80,"$38,000,000 ",110 min
110,Tucker and Dale vs Evil (2010),7.6,"138,624",Comedy,Horror,,65,"Opening Weekend:         52,843              (USA)      (30 September 2011)",
111,Tyrannosaur (2011),7.6,"26,016",Drama,,,65,Opening Weekend:         804              (USA)      (18 November 2011),
112,Warrior (2011),8.2,"361,049",Action,Drama,Sport,71,"$25,000,000 ",140 min
113,What We Do in the Shadows (2014),7.6,"87,975",Comedy,Horror,,76,"Opening Weekend:         128,520              (USA)      (20 February 2015)",
114,Whiplash (2014),8.5,"492,285",Drama,Music,,88,"$3,300,000 ",107 min
115,Wreck-It Ralph (2012),7.7,"295,125",Animation,Adventure,Comedy,72,"Opening Weekend:         49,038,712              (USA)      (2 November 2012)",
116,X-Men: Days of Future Past (2014),8,"560,736",Action,Adventure,Sci-Fi,74,"$200,000,000 ",132 min
117,X-Men: First Class (2011),7.8,"556,713",Action,Adventure,Sci-Fi,65,"$160,000,000 ",132 min
118,Zootopia (2016),8.1,"309,474",Animation,Adventure,Comedy,78,"$150,000,000 ",108 min
